ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,dividendRate,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
AWC.bk,SET,2025-04-03,Lodging,Consumer Cyclical,155674689536.0,0.015,0.36523998,0.8368201,85.039,0.06521,0.05,0.18,0.08,183782894458.0,-41083596118.0,3918914578.0,2024-12-31,360801963.0,0.0111,1.0385500046172804,2.440000057220459,3.740000009536743,0.0251737426917671,0.0274627459531207,0.0023176661798741,13.47222254011366,13.555555873446997,0.6524064307482959,0.0061475408394405,67.0,45.0,112.0,0
BA.bk,SET,2025-04-03,Airlines,Industrials,51996876800.0,6.451,0.14846,2.3068812,175.443,0.23184,1.36,1.8,1.4,39730677954.0,4280231010.0,4924766873.0,2024-12-31,5329240930.0,-0.0005,1.1083108316621249,18.0,22.44112205505371,0.0947127438431071,0.1118987766653116,0.1024915583006708,6.41611111111111,10.0,0.8020989305187806,0.3583888888888888,292.0,164.0,456.0,1
BAFS.bk,SET,2025-04-03,Airports & Air Services,Industrials,18186770432.0,1.018,0.02933,1.152675,196.657,0.0036700002,0.619,0.08,0.3,20254046857.0,-951842593.0,752029180.0,2024-12-31,1004223979.0,0.0077,0.9412538760363662,7.900000095367432,16.100000381469727,0.0413503421518308,0.0389607927527007,0.0552172791070726,86.0250011920929,98.7500011920929,0.4906832241109712,0.1288607579380861,116.0,56.0,172.0,0
BAM.bk,SET,2025-04-03,Asset Management,Financial Services,113211154432.0,0.029,0.57523,0.453117,212.351,0.036459997,4.486,0.5,0.35,7987067000.0,103240016000.0,2622109000.0,2024-12-31,1332137000.0,0.0235,1.5640035107292902,6.0,9.149999618530272,0.0231612248206069,0.0235743753164865,0.0117668352264718,11.942,12.0,0.655737732256185,0.0048333333333333,57.0,57.0,114.0,0
BANPU.bk,SET,2025-04-03,Thermal Coal,Energy,48780234752.0,0.169,-0.0046,12.771084,132.221,0.023359999,1.02,-0.07,0.24,9648818000.0,54335000.0,266442000.0,2024-12-31,189700000.0,0.1208,1.187898702201374,4.28000020980835,6.800000190734863,0.0054620893350472,0.0274593217276899,0.0038888701738406,-58.72857442583357,-61.14286014011928,0.6294117779055265,0.0394859793727831,12.0,237.0,249.0,0
BBGI.bk,SET,2025-04-03,Utilities - Renewable,Utilities,7489565184.0,0.378,0.00969,0.5284427,32.411,0.03483,1.357,0.15,0.1,9462329831.0,1121357793.0,431985461.0,2024-12-31,-352988862.0,0.0388,1.1702169064285606,3.4200000762939453,6.485395908355713,0.0576783098066698,0.0408161575007573,-0.0471307550342297,20.2800005086263,22.800000508626304,0.5273386736325002,0.1105263133238337,168.0,110.0,278.0,0
BCH.bk,SET,2025-04-03,Medical Care Facilities,Healthcare,36533452800.0,0.539,0.108380005,2.7911453,6.397,0.10135,1.311,0.51,0.4,13602223677.0,894520001.0,1710902283.0,2024-12-31,1055181841.0,0.2564,0.8265830665981578,14.399999618530272,17.799999237060547,0.0468311137292777,0.1180197650591308,0.0288826201776362,27.178430624569163,28.235293369667204,0.8089887772887489,0.0374305565471266,135.0,402.0,537.0,1
BCP.bk,SET,2025-04-03,Oil & Gas Refining & Marketing,Energy,189696491520.0,21.358,0.0037,0.89306295,160.367,0.043330003,1.296,1.3,0.9,211310557074.0,24054083653.0,18839363923.0,2024-12-31,9861902641.0,0.1187,0.7450819136290707,39.0,35.796875,0.099313191151001,0.080043305845808,0.0519877967271748,13.57076923076923,30.0,1.0894805761676123,0.5476410256410257,301.0,292.0,593.0,1
BCPG.bk,SET,2025-04-03,Utilities - Renewable,Utilities,42382155776.0,2.452,0.38373002,0.653531,94.232,0.060110003,3.085,0.61,0.28,52264461841.0,6574068022.0,1577987107.0,2024-12-31,1116946083.0,0.0381,1.2779455143078555,6.800000190734863,6.8253984451293945,0.0372323464464631,0.0268189417831172,0.0263541592575736,7.127869165139121,11.14754129628666,0.9962788612857238,0.3605882251798903,105.0,87.0,192.0,0
BCT.bk,SET,2025-04-03,Specialty Chemicals,Basic Materials,12014664704.0,19.96,0.28659,0.5418312,0.009,0.111049995,6.063,11.82,1.4,24957054000.0,7867695000.0,1638396354.0,2024-12-31,711434550.0,0.141,0.237778844239031,60.0,73.0,0.1363663817813021,0.0499134465278013,0.0592138497017852,3.3874788494077834,5.076142131979696,0.821917808219178,0.3326666666666666,365.0,283.0,648.0,1
BDMS.bk,SET,2025-04-03,Medical Care Facilities,Healthcare,371102351360.0,0.548,0.1462,3.6060367,17.664,0.16293,1.075,1.01,0.8,127854584008.0,1645901906.0,20452160271.0,2024-12-31,11276692096.0,0.1371,0.6436806550833396,22.5,28.995725631713867,0.0551119123768626,0.1579311469501518,0.0303870133257675,21.734653465346533,22.27722772277228,0.7759764416928675,0.0243555555555555,162.0,364.0,526.0,1
BEC.bk,SET,2025-04-03,Broadcasting,Communication Services,5459253760.0,2.207,0.02259,1.2582345,36.767,0.015759999,2.601,0.05,0.14,4149719230.0,3111516151.0,198459442.0,2024-12-31,741316652.0,0.0823,0.3953122680787259,3.819999933242798,4.340000152587891,0.0363528516395618,0.0273313605174259,0.1357908396623058,32.25999866485596,76.39999866485596,0.8801842854694318,0.5777487011960436,101.0,159.0,260.0,0
BEM.bk,SET,2025-04-03,Railroads,Industrials,166702907392.0,0.143,0.2216,2.1917248,238.53,0.10153,0.271,0.25,0.15,127585959853.0,-13931861605.0,7008106927.0,2024-12-31,-11488245356.0,0.0513,0.7717721605516922,5.449999809265137,7.947933673858643,0.0420395003100966,0.0616617177473696,-0.0689144870700156,21.227999237060548,21.799999237060547,0.6857127944072559,0.0262385330283675,118.0,167.0,285.0,0
BEYOND.bk,SET,2025-04-03,Lodging,Consumer Cyclical,6808119808.0,3.348,-0.010629999,0.32143188,93.05,-0.0058899997,0.689,-0.13,0.0,11733068144.0,-642598358.0,412777210.0,2024-12-31,627129442.0,0.0071,0.2173371995345509,6.699999809265137,9.550000190734863,0.0606301330824053,0.0372190915231622,0.0921149244851832,-25.784613917424128,-51.53846007127028,0.7015706466441001,0.499701506762761,183.0,53.0,236.0,0
BGC.bk,SET,2025-04-03,Packaging & Containers,Consumer Cyclical,15640046592.0,0.211,0.01795,0.8170872,219.436,0.05052,0.52,0.37,0.3,13575663000.0,-5141058000.0,549226000.0,2024-12-31,296148000.0,0.0728,0.5412797847622997,5.699999809265137,6.849999904632568,0.0351166473046783,0.0651157938042149,0.0189352377090412,14.835134619635504,15.405404889905776,0.8321167720616024,0.0370175450983397,92.0,218.0,310.0,0
BGRIM.bk,SET,2025-04-03,Utilities - Independent Power Producers,Utilities,140227706880.0,7.503,0.02787,1.3176591,228.118,0.060739998,1.473,0.26,0.5,134474932530.0,14911561540.0,8049287460.0,2024-12-31,3688649435.0,0.0438,1.5959681517996331,10.100000381469728,22.90840148925781,0.0574015480898378,0.0538822971253896,0.0263047119365402,9.988463005652791,38.8461553133451,0.4408863004346161,0.7428712590710004,167.0,137.0,304.0,0
BH.bk,SET,2025-04-03,Medical Care Facilities,Healthcare,126258036736.0,15.239,0.30062,5.0031815,0.502,0.30181998,4.372,8.95,5.0,15921514726.0,12904800815.0,9188069920.0,2024-12-31,7350237622.0,0.2576,0.5541566113891705,173.5,258.6166687011719,0.0727721589653088,0.3187389629081005,0.0582159980625156,17.682793296089386,19.3854748603352,0.6708770972549992,0.0878328530259366,224.0,436.0,660.0,1
BIG.bk,SET,2025-04-03,Specialty Retail,Consumer Cyclical,1227304192.0,0.058,0.027139999,0.5940594,21.012,0.06018,2.906,0.03,0.02,888491940.0,1144157165.0,137841538.0,2024-12-31,-58318635.0,0.0339,0.115630116326323,0.3000000119209289,0.4486363530158996,0.1123124478010419,0.0678137400404877,-0.0475176695232863,8.066667064030966,10.0000003973643,0.6686930515198285,0.1933333256509572,325.0,144.0,469.0,1
BIZ.bk,SET,2025-04-03,Medical Devices,Healthcare,1759509376.0,0.69,0.13056,2.1614227,16.74,0.24334998,2.442,0.37,0.35,557717876.0,630036056.0,287511749.0,2024-12-31,-72668534.0,0.2767,0.4452130656021063,3.240000009536743,3.170698881149292,0.1634044995279411,0.2420633948278101,-0.0413004528371436,6.891891917666873,8.756756782531738,1.0218567360021054,0.2129629623361194,388.0,432.0,820.0,1
BJCHI.bk,SET,2025-04-03,Metal Fabrication,Industrials,590027456.0,0.315,-0.0215,0.35714287,0.202,-0.00851,8.675,-0.02,0.08,1303440073.55,1951801290.67,274799273.3,2024-12-31,-262641377.54,0.0443,0.5186285498238895,0.6800000071525574,1.3899999856948853,0.4657398066913008,0.0844174801661276,-0.4451341626041213,-18.25000035762787,-34.00000035762787,0.4892086432739159,0.4632352892451221,436.0,202.0,638.0,1
BKGI.bk,SET,2025-04-03,Diagnostics & Research,Healthcare,812020224.0,0.65,0.14862001,2.1675978,4.452,0.12945,11.273,0.09,0.05,92671004.0,469245656.0,52464762.0,2024-12-31,-23460513.0,0.2964,2.287163508743954,1.9600000381469729,2.759999990463257,0.0646101666551595,0.0933675146773544,-0.0288915378048515,14.555555979410808,21.77777820163303,0.7101449438113923,0.3316326466067441,200.0,405.0,605.0,1
BLAND.bk,SET,2025-04-03,Real Estate - Diversified,Real Estate,15842665472.0,0.222,0.22992,0.15439856,6.834,0.029579999,2.066,0.07,0.01,62779409000.0,2719371000.0,561646008.0,2024-12-31,1083055097.0,0.0004,0.3710853295433902,0.4300000071525574,0.6499999761581421,0.0354514844104132,0.0085749079295828,0.0683631866691983,2.9714286736079623,6.1428572450365335,0.6615384968074834,0.5162790611797311,96.0,18.0,114.0,0
