ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
0234.HK,2024-09-01,Mortgage Finance,Financial Services,116637168.0,0.09,0.25385,Infinity,0.033,0.029,0.057,2036187000.0,114791000.0,29154000.0,29154000.0,2024-03-31,-72.73,12.12
0236.HK,2024-09-01,Beverages—Brewers,Consumer Defensive,121926504.0,0.528,0.10655,4.5,0.9,0.76,1.1,807556000.0,104312000.0,66659000.0,27309000.0,2023-12-31,-22.22,15.56
0239.HK,2024-09-01,Drug Manufacturers—Specialty & Generic,Healthcare,389961792.0,1.182,0.36289,7.806452,2.42,1.57,2.69,907465000.0,44185000.0,129421000.0,143201000.0,2023-12-31,-11.16,35.12
0241.HK,2024-09-01,Pharmaceutical Retailers,Healthcare,34373926912.0,0.655,0.03269,43.0,3.01,2.59,5.08,19705337000.0,5025458000.0,945368000.0,717403000.0,2024-03-31,-68.77,13.95
0247.HK,2024-09-01,Real Estate—Development,Real Estate,114017525760.0,0.888,0.25417998,14.833332,17.8,16.7,21.8,181049748770.0,10976516043.0,6855520087.0,4267533008.0,2023-06-30,-22.47,6.18
0252.HK,2024-09-01,Packaging & Containers,Consumer Cyclical,597025536.0,0.206,0.29264998,5.28,1.32,1.3,3.28,1635320068.0,170071200.0,75474215.0,12074165.0,2024-03-31,-148.48,1.52
0256.HK,2024-09-01,Luxury Goods,Consumer Cyclical,3872982016.0,0.316,0.01883,97.00001,0.97,0.86,1.5,16531006000.0,11195194000.0,162040000.0,75704000.0,2023-12-31,-54.64,11.34
0257.HK,2024-09-01,Waste Management,Industrials,119908761600.0,1.339,0.13049,5.343283,3.58,2.33,4.08,189182824000.0,41184880000.0,10626744000.0,11595869000.0,2023-12-31,-13.97,34.92
0258.HK,2024-09-01,Real Estate—Diversified,Real Estate,1288079744.0,1.878,0.37444,96.0,1.92,1.44,2.01,18361211000.0,5099586000.0,153369000.0,127557000.0,2023-12-31,-4.69,25.0
0259.HK,2024-09-01,Electronic Components,Technology,2106932992.0,0.162,0.18872999,11.842106,2.25,2.23,3.9,2906940000.0,382984000.0,200625000.0,23191000.0,2024-03-31,-73.33,0.89
0265.HK,2024-09-01,Real Estate Services,Real Estate,107900736.0,0.02,0.11562,Infinity,0.023,0.02,0.04,814736000.0,139900000.0,44237000.0,35562000.0,2023-12-31,-73.91,13.04
0266.HK,2024-09-01,Real Estate Services,Real Estate,4560081920.0,1.202,0.63611,5.1463413,2.11,1.9,3.0,8744380000.0,147101000.0,419410000.0,165078000.0,2024-03-31,-42.18,9.95
0267.HK,2024-09-01,Conglomerates,Industrials,1275937161216.0,76.029,0.06229,3.5898616,7.79,6.53,8.8,12490930248003.838,7855224593459.922,148976147095.33618,133806355838.95268,2023-12-31,-12.97,16.17
0270.HK,2024-09-01,Utilities—Regulated Water,Utilities,74617036800.0,2.009,0.11967,9.608696,4.42,3.29,6.24,139965972000.0,45666192000.0,5893357000.0,4851185000.0,2023-12-31,-41.18,25.57
