ticker,market,date_pulling,industry,sector,marketCap,enterpriseValue,currentPrice,totalCashPerShare,profitMargins,trailingPE,Total Non Current Assets,Working Capital,EBIT,Operating Income,ttm_latest,beta_earnings,numofyear,avg_MF_ROC
CEYE.bk,mai,2024-10-09,Leisure,Consumer Cyclical,1014860032.0,850991296.0,3.5,0.769,0.113859996,25.0,477130000.0,207592000.0,56283278.0,56556398.0,2024-06-30,3.1006,5.0,0.0915
CFARM.bk,mai,2024-10-09,Farm Products,Consumer Defensive,730800000.0,739177344.0,1.26,0.343,0.10938,25.199999,642608002.0,174189284.0,21302562.0,17332502.0,2024-06-30,-1.1424,3.0,0.0515
CFRESH.bk,SET,2024-10-09,Packaged Foods,Consumer Defensive,1622423296.0,3358377472.0,1.75,0.073,0.01919,12.5,2218477000.0,907712000.0,325868489.0,271500259.0,2024-06-30,2.4483,5.0,0.0477
CH.bk,SET,2024-10-09,Packaged Foods,Consumer Defensive,1920000128.0,2179553024.0,2.4,0.194,0.06798,13.333333,929559000.0,672681000.0,192746628.0,174461965.0,2024-06-30,2.1036,5.0,0.0742
CHG.bk,SET,2024-10-09,Medical Care Facilities,Healthcare,30360000512.0,29871962112.0,2.76,0.131,0.12393,27.6,6262386000.0,2403452000.0,1397043552.0,1409012630.0,2024-06-30,-1.0393,5.0,0.361
CHIC.bk,mai,2024-10-09,"Furnishings, Fixtures & Appliances",Consumer Cyclical,734400000.0,1228345984.0,0.54,0.078,0.01943,54.000004,1291229000.0,-1414000.0,51293500.0,50561436.0,2024-06-30,-3.5501,5.0,0.0448
CHOW.bk,mai,2024-10-09,Steel,Basic Materials,2079999872.0,2770716928.0,2.6,0.206,0.1183,3.8805969,2000073000.0,430142000.0,651797258.0,215445775.0,2024-06-30,3.0489,5.0,-0.0307
CIVIL.bk,SET,2024-10-09,Engineering & Construction,Industrials,1442000000.0,3415118080.0,2.06,0.258,0.01706,18.727272,1593144000.0,521722000.0,99962412.0,59299931.0,2024-06-30,-1.4945,5.0,0.0951
CK.bk,SET,2024-10-09,Engineering & Construction,Industrials,34047391744.0,85901459456.0,20.1,3.907,0.03818,24.21687,64653616000.0,7989882000.0,3341814644.0,685427377.0,2024-06-30,2.9574,5.0,-0.0031
CM.bk,SET,2024-10-09,Packaged Foods,Consumer Defensive,830898240.0,483274464.0,2.18,0.941,0.11196,5.736842,710084087.0,743004104.0,152000179.0,114419442.0,2024-06-30,3.3059,5.0,0.0072
CMAN.bk,SET,2024-10-09,Specialty Chemicals,Basic Materials,2150400000.0,5223847936.0,2.24,0.161,0.06858,8.615385,5272775000.0,-873431000.0,502205401.0,444135976.0,2024-06-30,3.7386,5.0,0.0487
CMR.bk,SET,2024-10-09,Medical Care Facilities,Healthcare,7694416384.0,13489199104.0,1.89,0.059,0.05215,31.5,10619767502.36,-1987247460.29,693150200.09,598416000.6400001,2024-06-30,2.2627,5.0,0.0543
COLOR.bk,mai,2024-10-09,Specialty Chemicals,Basic Materials,718537280.0,1106916096.0,1.22,0.038,0.02664,24.4,896242000.0,-13889000.0,53825569.0,45317468.0,2024-06-30,-2.4843,5.0,0.0602
COM7.bk,SET,2024-10-09,Specialty Retail,Consumer Cyclical,60641251328.0,67317780480.0,25.75,0.711,0.03852,21.638655,6682623000.0,2032818000.0,3720453397.0,3583148572.0,2024-06-30,3.0162,5.0,0.4416
CPALL.bk,SET,2024-10-09,Grocery Stores,Consumer Defensive,590632255488.0,1151912509440.0,65.75,6.024,0.023529999,26.836735,787961558000.0,-101780394000.0,47651211959.0,45946680528.0,2024-06-30,3.514,5.0,0.0531
CPANEL.bk,mai,2024-10-09,Building Materials,Basic Materials,701669760.0,1120674432.0,4.3,0.226,0.11851,15.357143,961498000.0,-50401000.0,64365546.0,57314527.0,2024-06-30,2.2996,5.0,0.1121
CPAXT.bk,SET,2024-10-09,Food Distribution,Consumer Defensive,328472559616.0,463713763328.0,31.5,2.183,0.01928,34.615383,467674465000.0,-46422784000.0,18093039105.0,17417976357.0,2024-06-30,3.0579,5.0,0.0436
CPF.bk,SET,2024-10-09,Farm Products,Consumer Defensive,192814891008.0,722338447360.0,24.9,3.793,0.01092,35.57143,695617125000.0,-58944156000.0,15640127000.0,15833382000.0,2024-06-30,-2.7311,5.0,0.0402
CPH.bk,SET,2024-10-09,Apparel Manufacturing,Consumer Cyclical,592000000.0,855526528.0,14.8,3.661,0.06548,6.6968327,616375122.66,673484057.68,135029208.79999998,112714024.33999999,2024-06-30,1.1566,5.0,0.1114
