ticker,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,totalCashPerShare,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest
CORT,2024-08-18,Biotechnology,Healthcare,3549593344.0,33.97,3082122240.0,4.528,714555000.0,100750000.0,127938000.0,127938000.0,2024-06-30
COST,2024-08-18,Discount Stores,Consumer Defensive,385963032576.0,870.59,383761022976.0,25.937,67911000000.0,35361000000.0,9766000000.0,9024000000.0,2024-05-31
CPHC,2024-08-18,Gambling,Consumer Cyclical,102912752.0,20.55,80154488.0,4.746,111408058.0,14721337.0,5435858.0,5435858.0,2024-06-30
CPLP,2024-08-18,Marine Shipping,Industrials,897137280.0,16.3,3384779264.0,1.609,3988526000.0,208710000.0,218981000.0,187520000.0,2024-06-30
CPRT,2024-08-18,Specialty Business Services,Industrials,49375510528.0,51.31,46422126592.0,3.211,8010632000.0,563419000.0,1603096000.0,1603096000.0,2024-04-30
CPRX,2024-08-18,Biotechnology,Healthcare,2358330624.0,19.87,1986011520.0,3.165,706360000.0,92318000.0,85876000.0,85876000.0,2024-06-30
CRAI,2024-08-18,Consulting Services,Industrials,1082584064.0,159.68,1246393088.0,3.636,546012000.0,252671000.0,58280000.0,58844000.0,2024-06-30
CRMT,2024-08-18,Auto & Truck Dealerships,Consumer Cyclical,390202368.0,61.0,1203878144.0,0.863,1477644000.0,353799000.0,25213000.0,25650000.0,2024-04-30
CRNT,2024-08-18,Communication Equipment,Technology,246644944.0,2.88,265382064.0,0.307,299035000.0,127323000.0,24488000.0,29329000.0,2024-06-30
CROX,2024-08-18,Footwear & Accessories,Consumer Cyclical,8079343104.0,136.05,9782209536.0,2.825,4719798000.0,686416000.0,1033093000.0,1044820000.0,2024-06-30
CRUS,2024-08-18,Semiconductors,Technology,7553945600.0,141.43,7190989824.0,9.68,2265625000.0,201742000.0,398684000.0,374424000.0,2024-06-30
CRVL,2024-08-18,Insurance Brokers,Financial Services,5408834048.0,315.73,5307371520.0,7.7,486172000.0,200585000.0,97708000.0,97708000.0,2024-06-30
CRWS,2024-08-18,"Furnishings, Fixtures & Appliances",Consumer Cyclical,47944756.0,4.65,72602560.0,0.08,76359000.0,12618000.0,5902000.0,5902000.0,2024-06-30
CSCO,2024-08-18,Communication Equipment,Technology,199264944128.0,49.46,211838287872.0,4.444,122998000000.0,40108000000.0,15008000000.0,14696000000.0,2024-04-30
CSGP,2024-08-18,Real Estate Services,Real Estate,30342850560.0,74.04,26521038848.0,12.004,9067300000.0,561700000.0,66933000.0,66933000.0,2024-06-30
CSGS,2024-08-18,Software—Infrastructure,Technology,1386055680.0,46.98,1809079680.0,3.908,1353288000.0,476444000.0,122315000.0,132859000.0,2024-06-30
CSIQ,2024-08-18,Solar,Technology,976079744.0,14.75,4340022272.0,31.399,12366770000.0,6038488000.0,453705000.0,351690000.0,2024-03-31
CSPI,2024-08-18,Information Technology Services,Technology,136359520.0,13.98,98466800.0,3.171,64200000.0,12535000.0,5143000.0,1160000.0,2024-03-31
CTAS,2024-08-18,Specialty Business Services,Industrials,77074178048.0,764.86,79400189952.0,3.394,9168817000.0,1828519000.0,2074375000.0,2068633000.0,2024-05-31
CTSH,2024-08-18,Information Technology Services,Technology,37600616448.0,75.86,36632612864.0,4.449,18580000000.0,2946000000.0,2955000000.0,2977000000.0,2024-06-30
CVCO,2024-08-18,Residential Construction,Consumer Cyclical,3192942592.0,386.87,2860311296.0,46.038,1380682000.0,296005000.0,183837000.0,161334000.0,2024-06-30
CVGI,2024-08-18,Auto Parts,Consumer Cyclical,124896512.0,3.62,253082576.0,1.216,503196000.0,167867000.0,23295000.0,24804000.0,2024-06-30
CVGW,2024-08-18,Food Distribution,Consumer Defensive,440730496.0,24.76,508493344.0,0.24,411369000.0,133182000.0,14588000.0,13579000.0,2024-04-30
CVLT,2024-08-18,Software—Application,Technology,6569671680.0,150.29,6293559296.0,6.585,934932000.0,446541000.0,85185000.0,84530000.0,2024-06-30
CWCO,2024-08-18,Utilities—Regulated Water,Utilities,435923808.0,27.53,348431200.0,6.105,235161960.0,19530591.0,37001306.0,35842862.0,2024-06-30
CWST,2024-08-18,Waste Management,Industrials,6111035904.0,105.12,7015856128.0,3.711,2511865000.0,269688000.0,94076000.0,98997000.0,2024-06-30
CZR,2024-08-18,Resorts & Casinos,Consumer Cyclical,8000179200.0,36.98,33323177984.0,3.837,33084000000.0,2611000000.0,2235000000.0,2421000000.0,2024-06-30
DAKT,2024-08-18,Electronic Components,Technology,710424384.0,15.33,687130432.0,1.756,527884000.0,192296000.0,98354000.0,87115000.0,2024-04-30
DAVE,2024-08-18,Software—Application,Technology,458625056.0,36.2,447920672.0,6.935,247164000.0,26462000.0,40284000.0,2267000.0,2024-06-30
DECK,2024-08-18,Footwear & Accessories,Consumer Cyclical,24153538560.0,950.53,22977482752.0,56.606,3306219000.0,912470000.0,1049320000.0,989585000.0,2024-06-30
DELL,2024-08-18,Computer Hardware,Technology,78723489792.0,111.3,99272548352.0,8.498,82089000000.0,48494000000.0,5388000000.0,5211000000.0,2024-01-31
DENN,2024-08-18,Restaurants,Consumer Cyclical,315950112.0,6.15,701510912.0,0.077,459938000.0,96127000.0,47161000.0,51167000.0,2024-06-30
DGII,2024-08-18,Communication Equipment,Technology,1057497472.0,29.04,1195754880.0,0.778,820426000.0,82353000.0,36859000.0,46673000.0,2024-06-30
DHIL,2024-08-18,Asset Management,Financial Services,429159104.0,156.0,406178144.0,8.524,213051263.0,19840254.0,37211674.0,37211674.0,2024-06-30
DIOD,2024-08-18,Semiconductors,Technology,3115336704.0,67.24,2998717440.0,5.912,2361057000.0,360955000.0,122758000.0,94067000.0,2024-06-30
