ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
TGE.bk,SET,2024-08-13,Utilities - Renewable,Utilities,4796000256.0,2.18,5199954944.0,3377899558.0,317083877.0,295257228.0,2024-03-31,0.09646357663181353,0.05678072813701672
TGH.bk,SET,2024-08-13,Insurance - Diversified,Financial Services,10905420800.0,14.5,26273908736.0,83900246000.0,8528016000.0,1137558577.0,2024-06-30,0.015092542399236429,0.043296130333334806
TH.bk,SET,2024-08-13,Financial Conglomerates,Financial Services,628952896.0,0.63,136485040.0,1761318314.0,40889997.0,139120444.0,2024-03-31,0.0808638422335384,1.019309105232339
THANA.bk,mai,2024-08-13,Real Estate - Development,Real Estate,335623776.0,1.21,1064719488.0,1518546983.0,784998553.0,21557259.0,2024-03-31,0.02938764247644835,0.020246890606364105
THANI.bk,SET,2024-08-13,Credit Services,Financial Services,10901327872.0,1.75,47668850688.0,52183174000.0,18171515000.0,801391194.0,2024-06-30,0.023562249462750404,0.01681163238537529
THCOM.bk,SET,2024-08-13,Communication Equipment,Technology,12714760192.0,11.6,10487192576.0,13974342000.0,1202997000.0,413611121.0,2024-06-30,0.032385870164810364,0.039439642020739796
THG.bk,SET,2024-08-13,Medical Care Facilities,Healthcare,21822275584.0,25.75,32686159872.0,23651834938.0,8274729878.0,698195916.0,2024-03-31,0.04540489989992954,0.021360597841231777
THIP.bk,SET,2024-08-13,Packaging & Containers,Consumer Cyclical,2384992000.0,26.5,1083877760.0,3354000000.0,546987000.0,374405360.0,2024-03-31,0.1333821254123155,0.3454313519635277
THMUI.bk,mai,2024-08-13,Industrial Distribution,Industrials,187000000.0,0.55,378563008.0,673900000.0,182870000.0,5707191.0,2024-03-31,0.011622896768018247,0.01507593420221344
TIDLOR.bk,SET,2024-08-13,Credit Services,Financial Services,37292797952.0,12.8,114339028992.0,105294005000.0,32398026000.0,8894718000.0,2024-06-30,0.12201932290394234,0.07779249201619808
TIGER.bk,mai,2024-08-13,Engineering & Construction,Industrials,266800000.0,0.58,338587616.0,953665478.0,347957910.0,2869584.0,2024-03-31,0.004737573297086491,0.008475159351368599
TK.bk,SET,2024-08-13,Credit Services,Financial Services,2349999872.0,4.7,1269592064.0,6338021000.0,564381000.0,375296000.0,2024-03-31,0.06500162808903916,0.29560361209063135
