ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
MCM.VN,2024-09-01,Farm Products,Consumer Defensive,2623041699840.0,14054.167,0.106680006,16.155088,37900.0,36200.0,48500.0,2607315323915.0,290146428131.0,328480478554.0,189530127733.0,2024-06-30,-27.97,4.49
MSH.VN,2024-09-01,Apparel Manufacturing,Consumer Cyclical,4053261090816.0,16491.934,0.06106,13.550136,49250.0,33350.0,54000.0,4193258299967.0,1777750466776.0,405408662535.0,183745377644.0,2024-06-30,-9.64,32.28
MSN.VN,2024-09-01,Conglomerates,Industrials,162056632270848.0,19791.387,0.00883,158.73015,76500.0,56000.0,83900.0,157465855000000.0,51329961000000.0,10559278000000.0,4401036000000.0,2024-06-30,-9.67,26.8
MWG.VN,2024-09-01,Specialty Retail,Consumer Cyclical,95581485662208.0,21175.701,0.01731,46.296295,69800.0,33600.0,70800.0,65869825037150.0,33260021340720.0,4400675901670.0,2791010163737.0,2024-06-30,-1.43,51.86
NKG.VN,2024-09-01,Steel,Basic Materials,9758512775168.0,2934.778,0.02089,13.96648,21800.0,17150.0,27200.0,12898880246356.0,7082876692866.0,731711311955.0,581169428857.0,2024-06-30,-24.77,21.33
NLG.VN,2024-09-01,Real Estate Services,Real Estate,23348977336320.0,7899.901,0.17306,39.215687,41000.0,29200.0,46150.0,29731016920389.0,11668263003384.0,972978560526.0,187211200877.0,2024-06-30,-12.56,28.78
NSC.VN,2024-09-01,Farm Products,Consumer Defensive,1694432755712.0,19458.22,0.10187,5.608525,78000.0,66700.0,81200.0,2417368834425.0,968611517188.0,292418388696.0,295928466474.0,2024-06-30,-4.1,14.49
NTL.VN,2024-09-01,Engineering & Construction,Industrials,1140785545216.0,13147.758,0.4559,3.7230082,22500.0,11000.0,28950.0,2658293739709.0,962257435929.0,969417123719.0,981191365312.0,2024-06-30,-28.67,51.11
OGC.VN,2024-09-01,Conglomerates,Industrials,3922201411584.0,507.834,0.06947,23.529413,4780.0,4740.0,8400.0,4690135328162.0,716993948867.0,156866779757.0,120542126867.0,2024-06-30,-75.73,0.84
ORS.VN,2024-09-01,Capital Markets,Financial Services,5625611812864.0,13121.394,0.06335,13.888889,12900.0,11785.714,19241.072,9832163252814.0,3115142234991.0,773578675054.0,777395405366.0,2024-06-30,-49.16,8.64
PAN.VN,2024-09-01,Farm Products,Consumer Defensive,9077559132160.0,58372.652,0.03206,8.992806,22850.0,16950.0,25700.0,23364374082694.0,14218448615166.0,1528645995642.0,1111871604519.0,2024-06-30,-12.47,25.82
PC1.VN,2024-09-01,Engineering & Construction,Industrials,18910250270720.0,10708.434,0.02792,34.84299,28250.0,19739.13,31950.0,21451565774319.0,5856004540987.0,1366751265837.0,1408537345428.0,2024-06-30,-13.1,30.13
PDN.VN,2024-09-01,Marine Shipping,Industrials,3759931654144.0,16691.008,0.25979,13.986014,115000.0,87100.0,123000.0,1530778713206.0,392467432133.0,420945556692.0,404866267708.0,2024-06-30,-6.96,24.26
PDR.VN,2024-09-01,Real Estate—Development,Real Estate,21871424700416.0,1383.296,0.82041,36.36333,21550.0,16700.0,33500.0,22536818455558.0,8701429851887.0,934069596059.0,300920573207.0,2024-06-30,-55.45,22.51
PET.VN,2024-09-01,Oil & Gas Refining & Marketing,Energy,4972192202752.0,29007.154,0.00795,21.459227,27900.0,20000.0,32550.0,9385753735122.0,7106550863447.0,370202730517.0,191803806172.0,2024-06-30,-16.67,28.32
PGD.VN,2024-09-01,Oil & Gas Integrated,Energy,1132184862720.0,20563.479,0.0242,13.297873,32000.0,30800.0,43900.0,3848022365376.0,2308251826190.0,318466809519.0,279287289883.0,2024-06-30,-37.19,3.75
PHR.VN,2024-09-01,Farm Products,Consumer Defensive,6378609442816.0,15401.307,0.2702,21.691975,59500.0,41800.0,65900.0,5994554606038.0,559508395347.0,543286664665.0,226599155999.0,2024-06-30,-10.76,29.75
PLX.VN,2024-09-01,Oil & Gas Refining & Marketing,Energy,55842397224960.0,21066.56,0.01268,21.598272,48600.0,31300.0,51700.0,73966916346290.0,44671996018226.0,5992191728998.0,3267956826403.0,2024-06-30,-6.38,35.6
PNJ.VN,2024-09-01,Luxury Goods,Consumer Cyclical,32907395596288.0,4615.714,0.05289,18.018017,102200.0,71100.0,110200.0,12963943536777.0,2239304721862.0,2647971180947.0,2615111801833.0,2024-06-30,-7.83,30.43
POW.VN,2024-09-01,Utilities—Independent Power Producers,Utilities,42111239979008.0,5351.678,0.03757,29.850416,13450.0,10400.0,15900.0,80919534417359.0,35374048566981.0,1728325856782.0,1425281490486.0,2024-06-30,-18.22,22.68
PPC.VN,2024-09-01,Utilities—Independent Power Producers,Utilities,4122224885760.0,42.679,0.056789998,9.615385,12900.0,12300.0,17350.0,6315880219291.0,1702882184453.0,437402606817.0,5873102017.0,2024-06-30,-34.5,4.65
PTB.VN,2024-09-01,Conglomerates,Industrials,5518602534912.0,5534.206,0.056700002,13.351134,65300.0,52100.0,76800.0,5096165634103.0,2100831265639.0,524463214972.0,502233809394.0,2024-06-30,-17.61,20.21
