ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
FMC.VN,2024-09-09,Packaged Foods,Consumer Defensive,3885588283392.0,7448.921,0.04869,10.604238,46700.0,40850.0,55000.0,3602350887254.0,1406848708997.0,344303980594.0,283048831901.0,2024-06-30,-17.77,12.53
FPT.VN,2024-09-09,Information Technology Services,Technology,187974662750208.0,18317.889,0.12345,29.147919,131300.0,71826.086,139700.0,65321967724908.0,31341216287024.0,10822366358466.0,9322003913093.0,2024-06-30,-6.4,45.3
GAS.VN,2024-09-09,Oil & Gas Integrated,Energy,155000856641536.0,19122.574,0.111490004,27.975954,84700.0,73000.0,93250.0,95166909975673.0,17644684180307.0,14509576958254.0,12534661481121.0,2024-06-30,-10.09,13.81
GEG.VN,2024-09-09,Utilities—Renewable,Utilities,15360253231104.0,2272.288,0.07428,31.918377,11700.0,11333.333,16380.952,16063704744842.0,1563146348902.0,1108782056897.0,1026418263142.0,2024-06-30,-40.01,3.13
GEX.VN,2024-09-09,Electrical Equipment & Parts,Industrials,36790425616384.0,9701.953,0.03474,16.277176,21000.0,16850.0,26300.0,52442894695207.0,16766220875935.0,3701964988673.0,2571902035017.0,2024-06-30,-25.24,19.76
GVR.VN,2024-09-09,Auto Parts,Consumer Cyclical,101518774632448.0,3564.715,0.18190001,58.139534,34500.0,16450.0,39000.0,76116620474850.0,7823672450595.0,4664468707604.0,2791559757385.0,2024-06-30,-13.04,52.32
HAG.VN,2024-09-09,Real Estate—Diversified,Real Estate,18592139575296.0,128.646,0.29166,5.5353894,10400.0,7440.0,15300.0,21559728315000.0,9096892447000.0,2917757873000.0,1231005777000.0,2024-06-30,-47.12,28.46
HAH.VN,2024-09-09,Marine Shipping,Industrials,6702344699904.0,3309.177,0.11292,15.585741,39700.0,23826.088,47150.0,5925377473609.0,1025541601790.0,499021699274.0,468091890903.0,2024-06-30,-18.77,39.98
HDC.VN,2024-09-09,Real Estate—Development,Real Estate,4891298234368.0,469.86,0.32307997,58.03627,28100.0,25050.0,38450.0,5103111187512.0,2259991881717.0,248553198469.0,222587187246.0,2024-06-30,-36.83,10.85
HDG.VN,2024-09-09,Real Estate—Development,Real Estate,15056853008384.0,3436.846,0.22753,15.446935,28600.0,22181.818,33000.0,14051888960299.0,1981303705586.0,1361922060515.0,1407537965922.0,2024-06-30,-15.38,22.44
HHV.VN,2024-09-09,Infrastructure Operations,Industrials,26079047712768.0,1740.586,0.18427,18.991116,12100.0,9810.0,17666.666,38027265082211.0,3043062037581.0,1211780618873.0,1141719973263.0,2024-06-30,-46.01,18.93
HPG.VN,2024-09-09,Steel,Basic Materials,207211250843648.0,4431.76,0.08379,15.133244,25600.0,20545.455,29950.0,206609079731195.0,73551241788497.0,14083983121350.0,13734554828126.0,2024-06-30,-16.99,19.74
HQC.VN,2024-09-09,Real Estate Services,Real Estate,4757794062336.0,77.738,0.11293,104.1543,3510.0,2850.0,4810.0,10378573201192.0,3071111135830.0,72896738383.0,23754286758.0,2024-06-30,-37.04,18.8
HSG.VN,2024-09-09,Steel,Basic Materials,17743246000128.0,821.134,0.030480001,10.948141,20400.0,16100.0,26100.0,19722949936805.0,8598498885070.0,1342889893276.0,1059917339550.0,2024-06-30,-27.94,21.08
HT1.VN,2024-09-09,Building Materials,Basic Materials,5275033010176.0,1542.773,0.00973,69.153885,11900.0,10800.0,15850.0,8262882978099.0,3406358179134.0,130180823389.0,171487136025.0,2024-06-30,-33.19,9.24
HVN.VN,2024-09-09,Airlines,Industrials,67798436937728.0,1539.099,0.00856,53.526287,20750.0,10000.0,37000.0,57791529819669.0,57018513166116.0,3097790115189.0,1083002146108.0,2024-06-30,-78.31,51.81
IJC.VN,2024-09-09,Engineering & Construction,Industrials,5651101122560.0,414.927,0.25694,24.69666,13800.0,11250.0,16950.0,7869125164466.0,2462923274234.0,393344310325.0,391299096165.0,2024-06-30,-22.83,18.48
IMP.VN,2024-09-09,Drug Manufacturers—Specialty & Generic,Healthcare,7306387914752.0,3370.181,0.12955,34.198364,96200.0,47363.637,99900.0,2504991924493.0,427328101528.0,349373499510.0,351764367060.0,2024-06-30,-3.85,50.77
KBC.VN,2024-09-09,Real Estate Services,Real Estate,24260124868608.0,3995.253,0.12671,76.934326,26300.0,24200.0,36600.0,40903918932431.0,6773943233705.0,870255404760.0,589851972986.0,2024-06-30,-39.16,7.98
KDH.VN,2024-09-09,Real Estate Services,Real Estate,37447165542400.0,3229.105,0.29645002,52.910053,37600.0,27200.0,40000.0,28401330867000.0,5382844038000.0,1020497132000.0,1048807223000.0,2024-06-30,-6.38,27.66
KOS.VN,2024-09-09,Real Estate—Development,Real Estate,10489199329280.0,129.878,0.01742,357.59152,39850.0,36000.0,40600.0,4743429304933.0,1286474350249.0,144631486420.0,134957972775.0,2024-06-30,-1.88,9.66
LGC.VN,2024-09-09,Engineering & Construction,Industrials,25309371957248.0,4908.859,0.43806,11.904762,59500.0,45850.0,65700.0,22964388781632.0,2035806338555.0,1517196412994.0,1058336116851.0,2024-03-31,-10.42,22.94
MCM.VN,2024-09-09,Farm Products,Consumer Defensive,2579041615872.0,14054.167,0.106680006,15.744,36900.0,36200.0,48500.0,2607315323915.0,290146428131.0,328480478554.0,189530127733.0,2024-06-30,-31.44,1.9
MSH.VN,2024-09-09,Apparel Manufacturing,Consumer Cyclical,3997000531968.0,16491.934,0.06106,13.402061,48750.0,33350.0,54000.0,4193258299967.0,1777750466776.0,405408662535.0,183745377644.0,2024-06-30,-10.77,31.59
MSN.VN,2024-09-09,Conglomerates,Industrials,161337443352576.0,19791.387,0.00883,155.01645,75400.0,56000.0,82400.0,157465855000000.0,51329961000000.0,10559278000000.0,4401036000000.0,2024-06-30,-9.28,25.73
MWG.VN,2024-09-09,Specialty Retail,Consumer Cyclical,92950038052864.0,21175.701,0.01731,44.713833,67500.0,33600.0,70800.0,65869825037150.0,33260021340720.0,4400675901670.0,2791010163737.0,2024-06-30,-4.89,50.22
NKG.VN,2024-09-09,Steel,Basic Materials,9508398039040.0,2934.778,0.02089,13.703279,21400.0,17150.0,27200.0,12898880246356.0,7082876692866.0,731711311955.0,581169428857.0,2024-06-30,-27.1,19.86
NLG.VN,2024-09-09,Real Estate Services,Real Estate,23387455881216.0,7899.901,0.17306,39.370083,41100.0,29200.0,46150.0,29731016920389.0,11668263003384.0,972978560526.0,187211200877.0,2024-06-30,-12.29,28.95
NSC.VN,2024-09-09,Farm Products,Consumer Defensive,1703220084736.0,19458.22,0.10187,5.6433406,78500.0,66700.0,81200.0,2417368834425.0,968611517188.0,292418388696.0,295928466474.0,2024-06-30,-3.44,15.03
NTL.VN,2024-09-09,Engineering & Construction,Industrials,1067597627392.0,13147.758,0.4559,3.574851,21600.0,11000.0,28950.0,2658293739709.0,962257435929.0,969417123719.0,981191365312.0,2024-06-30,-34.03,49.07
OGC.VN,2024-09-09,Conglomerates,Industrials,3883201462272.0,507.834,0.06947,22.63668,4600.0,4550.0,8400.0,4690135328162.0,716993948867.0,156866779757.0,120542126867.0,2024-06-30,-82.61,1.09
ORS.VN,2024-09-09,Capital Markets,Financial Services,5524811677696.0,13121.394,0.06335,13.3531475,12400.0,11785.714,19241.072,9832163252814.0,3115142234991.0,773578675054.0,777395405366.0,2024-06-30,-55.17,4.95
PAN.VN,2024-09-09,Farm Products,Consumer Defensive,9035779670016.0,58372.652,0.03206,8.84182,22450.0,16950.0,25700.0,23364374082694.0,14218448615166.0,1528645995642.0,1111871604519.0,2024-06-30,-14.48,24.5
PC1.VN,2024-09-09,Engineering & Construction,Industrials,18879151603712.0,10708.434,0.02792,34.783897,28200.0,19739.13,31950.0,21451565774319.0,5856004540987.0,1366751265837.0,1408537345428.0,2024-06-30,-13.3,30.0
PDN.VN,2024-09-09,Marine Shipping,Industrials,3704366039040.0,16691.008,0.25979,13.690461,112500.0,87100.0,123000.0,1530778713206.0,392467432133.0,420945556692.0,404866267708.0,2024-06-30,-9.33,22.58
PDR.VN,2024-09-09,Real Estate—Development,Real Estate,21915081113600.0,1383.296,0.82041,36.531986,21700.0,16700.0,33500.0,22536818455558.0,8701429851887.0,934069596059.0,300920573207.0,2024-06-30,-54.38,23.04
PET.VN,2024-09-09,Oil & Gas Refining & Marketing,Energy,4477367091200.0,29007.154,0.00795,21.282808,27700.0,20000.0,32550.0,9385753735122.0,7106550863447.0,370202730517.0,191803806172.0,2024-06-30,-17.51,27.8
PGD.VN,2024-09-09,Oil & Gas Integrated,Energy,1082686242816.0,20563.479,0.0242,13.0890045,31500.0,30800.0,42250.0,3848022365376.0,2308251826190.0,318466809519.0,279287289883.0,2024-06-30,-34.13,2.22
PHR.VN,2024-09-09,Farm Products,Consumer Defensive,6053411422208.0,15401.307,0.2702,21.226938,58300.0,41800.0,65900.0,5994554606038.0,559508395347.0,543286664665.0,226599155999.0,2024-06-30,-13.04,28.3
PLX.VN,2024-09-09,Oil & Gas Refining & Marketing,Energy,53745920507904.0,21066.56,0.01268,20.654543,46450.0,31300.0,51700.0,73966916346290.0,44671996018226.0,5992191728998.0,3267956826403.0,2024-06-30,-11.3,32.62
PNJ.VN,2024-09-09,Luxury Goods,Consumer Cyclical,32037540986880.0,4615.714,0.05289,17.557047,99500.0,71100.0,110200.0,12963943536777.0,2239304721862.0,2647971180947.0,2615111801833.0,2024-06-30,-10.75,28.54
POW.VN,2024-09-09,Utilities—Independent Power Producers,Utilities,41291584897024.0,5351.678,0.03757,28.958813,13050.0,10400.0,15900.0,80919534417359.0,35374048566981.0,1728325856782.0,1425281490486.0,2024-06-30,-21.84,20.31
PPC.VN,2024-09-09,Utilities—Independent Power Producers,Utilities,4042071736320.0,42.679,0.056789998,9.350529,12550.0,12300.0,17350.0,6315880219291.0,1702882184453.0,437402606817.0,5873102017.0,2024-06-30,-38.25,1.99
PTB.VN,2024-09-09,Conglomerates,Industrials,5431582785536.0,5534.206,0.056700002,12.945844,63300.0,52100.0,76800.0,5096165634103.0,2100831265639.0,524463214972.0,502233809394.0,2024-06-30,-21.33,17.69
PVD.VN,2024-09-09,Oil & Gas Drilling,Energy,14786394849280.0,0.279,0.090229996,28.380812,26800.0,22800.0,34900.0,23344436670189.0,4015079295203.0,1062225310890.0,953742319911.0,2024-06-30,-30.22,14.93
PVT.VN,2024-09-09,Marine Shipping,Industrials,12817014980608.0,13735.59,0.09039,13.381677,28050.0,19909.092,32700.0,17566533866756.0,3404631975687.0,1886064124170.0,1809577820690.0,2024-06-30,-16.58,29.02
QCG.VN,2024-09-09,Lumber & Wood Production,Basic Materials,3066386448384.0,100.171,0.03751,321.5817,6750.0,5590.0,18800.0,9375911813785.0,4639630901936.0,42116750040.0,41299043870.0,2024-06-30,-178.52,17.19
RAL.VN,2024-09-09,Electrical Equipment & Parts,Industrials,5844790411264.0,48445.08,0.06489,5.3232484,140900.0,99800.0,159400.0,8429511027748.0,5327405244493.0,750041443521.0,736341697359.0,2024-06-30,-13.13,29.17
REE.VN,2024-09-09,Engineering & Construction,Industrials,39427531341824.0,10324.754,0.22242,17.372791,66100.0,44086.957,75700.0,34746405592661.0,4000498257011.0,3042596263392.0,2280877972009.0,2024-06-30,-14.52,33.3
SAB.VN,2024-09-09,Beverages—Brewers,Consumer Defensive,51271344062464.0,18212.361,0.13577,17.45038,56200.0,52000.0,88000.0,34153648268028.0,8668920290705.0,5565751386352.0,4233007520495.0,2024-06-30,-56.58,7.47
SAM.VN,2024-09-09,Conglomerates,Industrials,4113924620288.0,950.751,0.02056,34.013603,6500.0,5870.0,8350.0,6748005858604.0,1892188971693.0,180697706366.0,98024098812.0,2024-06-30,-28.46,9.69
SBT.VN,2024-09-09,Confectioners,Consumer Defensive,18040135614464.0,11345.761,0.02526,19.920319,12600.0,10700.0,16800.0,34198411622964.0,19671136185066.0,2407225323540.0,1631605985843.0,2024-03-31,-33.33,15.08
SCR.VN,2024-09-09,Real Estate—Diversified,Real Estate,5434074726400.0,241.53,0.03292,186.6798,5690.0,5460.0,9250.0,10867799381125.0,4232731838031.0,328307669218.0,16570905273.0,2024-06-30,-62.57,4.04
SCS.VN,2024-09-09,Airports & Air Services,Industrials,6917254021120.0,9457.815,0.69962996,14.449011,81000.0,62400.0,96000.0,1534732645138.0,174560812528.0,532191247820.0,601447965898.0,2024-06-30,-18.52,22.96
SFG.VN,2024-09-09,Agricultural Inputs,Basic Materials,575026364416.0,10936.975,0.02642,11.890607,10700.0,7740.0,16100.0,1361280093149.0,725433000396.0,74839592894.0,49710462690.0,2024-06-30,-50.47,27.66
SHP.VN,2024-09-09,Utilities—Diversified,Utilities,3540431142912.0,1189.865,0.40148,15.290519,35250.0,28000.0,36650.0,1417043683659.0,334092853050.0,280057316453.0,278502090865.0,2024-06-30,-3.97,20.57
SIP.VN,2024-09-09,Real Estate—Development,Real Estate,13315548905472.0,25471.41,0.1393,15.45037,73600.0,43347.824,87900.0,23312281802057.0,3697183613780.0,1163812963226.0,832624692351.0,2024-06-30,-19.43,41.1
SJS.VN,2024-09-09,Real Estate Services,Real Estate,8886997221376.0,1104.577,0.36290002,37.4124,69400.0,54100.0,82400.0,7730245218607.0,2433294370977.0,292771222899.0,282980081166.0,2024-06-30,-18.73,22.05
SSI.VN,2024-09-09,Capital Markets,Financial Services,76800541589504.0,12469.49,0.42311,21.18344,32900.0,25650.0,39250.0,71107553198713.0,46201434111239.0,5041109403147.0,5081093834568.0,2024-06-30,-19.3,22.04
STG.VN,2024-09-09,Integrated Freight & Logistics,Industrials,4095664193536.0,5247.444,0.06639,31.720196,43850.0,38200.0,56200.0,2934391702708.0,460996375385.0,232376749871.0,116711530913.0,2024-06-30,-28.16,12.88
TBC.VN,2024-09-09,Utilities—Independent Power Producers,Utilities,2787844292608.0,2221.92,0.22869,28.011206,40500.0,34600.0,43000.0,1517792245771.0,172054201300.0,168472795646.0,158266740602.0,2024-06-30,-6.17,14.57
TCH.VN,2024-09-09,Farm & Heavy Construction Machinery,Industrials,13423584739328.0,3566.904,0.18045,15.330442,17850.0,9900.0,21650.0,15091354279518.0,2336667524676.0,1647318566257.0,1378742667178.0,2024-06-30,-21.29,44.54
TCM.VN,2024-09-09,Textile Manufacturing,Consumer Cyclical,4613137235968.0,8414.012,0.05962,25.282183,46500.0,34090.91,54400.0,3692314893648.0,1486050288633.0,318992521423.0,260499475495.0,2024-06-30,-16.99,26.69
TDM.VN,2024-09-09,Utilities—Regulated Water,Utilities,5442346418176.0,3322.19,0.30746,30.120483,49200.0,39000.0,52300.0,2928363913150.0,314088739038.0,216081948602.0,233166104026.0,2024-06-30,-6.3,20.73
TDP.VN,2024-09-09,Packaging & Containers,Consumer Cyclical,2339149447168.0,680.47,0.051409997,41.89544,35100.0,23090.908,37450.0,3688049768440.0,2470865781352.0,301764330690.0,269647411797.0,2024-06-30,-6.7,34.21
TLG.VN,2024-09-09,Business Equipment & Supplies,Industrials,3624447508480.0,12073.567,0.12026,11.060934,53200.0,45550.0,58000.0,3272037229431.0,856157515532.0,545953509779.0,499742262368.0,2024-06-30,-9.02,14.38
TMP.VN,2024-09-09,Utilities—Independent Power Producers,Utilities,4820350533632.0,4789.415,0.46218,14.26372,68000.0,53100.0,76500.0,1862890912513.0,131694671323.0,433986374394.0,355901325837.0,2024-06-30,-12.5,21.91
TMS.VN,2024-09-09,Integrated Freight & Logistics,Industrials,10263095934976.0,6206.021,0.04962,62.87525,48800.0,38550.0,58500.0,7699946120524.0,1009109851936.0,311885719175.0,218197674647.0,2024-06-30,-19.88,21.0
