ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
KDH.bk,SET,2024-08-15,Medical Care Facilities,Healthcare,1744578048.0,90.0,1154449280.0,923406000.0,157804000.0,159400408.0,2024-06-30,0.20820270584455108,0.13807484725530775
KGI.bk,SET,2024-08-15,Capital Markets,Financial Services,8006875136.0,4.02,6886424576.0,17955098000.0,8593725000.0,1308288052.0,2024-03-31,0.13975386431028866,0.18998074219233269
KIAT.bk,SET,2024-08-15,Trucking,Industrials,1050739392.0,0.34,793749952.0,1351149106.89,94204366.54,126543168.85000001,2024-06-30,0.10067520455574179,0.1594244743337005
KISS.bk,SET,2024-08-15,Household & Personal Products,Consumer Defensive,2436040448.0,4.06,2186110720.0,1423919764.0,313009702.0,186300859.0,2024-03-31,0.1677011176445713,0.0852202302909891
KJL.bk,mai,2024-08-15,Metal Fabrication,Industrials,1554386560.0,6.7,1721951104.0,1134250664.0,442718120.0,198159011.0,2024-06-30,0.28655052133020076,0.1150781869123271
KK.bk,mai,2024-08-15,Grocery Stores,Consumer Defensive,417795008.0,1.73,532202976.0,461544114.12,198271186.84,14213144.36,2024-06-30,0.053986349856944546,0.026706247429927936
KLINIQ.bk,mai,2024-08-15,Personal Services,Consumer Cyclical,7095000064.0,32.25,6522333696.0,3051148859.0,838853786.0,372589640.0,2024-03-31,0.16841769642181906,0.05712520354922975
KOOL.bk,mai,2024-08-15,"Furnishings, Fixtures & Appliances",Consumer Cyclical,850860032.0,0.36,1245793024.0,2101667000.0,290711000.0,109278490.0,2024-03-31,0.06034298458935501,0.08771801406394775
KSL.bk,SET,2024-08-15,Confectioners,Consumer Defensive,8203027456.0,1.86,28959430656.0,45875921000.0,15083108000.0,1573446944.0,2024-01-31,0.05109786312799678,0.054332799656543085
KTBSTMR.bk,SET,2024-08-15,REIT - Diversified,Real Estate,2020049920.0,6.7,3039269888.0,4473430000.0,126127000.0,285342364.42,2024-03-31,0.06563664056082588,0.09388516812758947
KTIS.bk,SET,2024-08-15,Confectioners,Consumer Defensive,11580000256.0,3.0,18719758336.0,16624251000.0,7515954000.0,110358667.0,2024-06-30,0.012116278926785106,0.005895304042882276
