Code,Name,IndustryName,Exchange,TotalShares
RTH,CTCP Đường sắt Thanh Hóa,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2085900
RTS,CTCP Thông tin Tín hiệu Đường sắt Đà Nẵng,Hỗ trợ vận tải,UPCoM,1083333
RUID,CTCP Đầu tư Phát triển Hạ tầng và Đô thị Đường sắt,Vận tải đường sắt,OTC,0
RUSCO,CTCP Kho vận và Dịch vụ Hàng hóa Cao su,Kho bãi,OTC,0
RauQua1,CTCP Xuất nhập khẩu Rau Quả I,Bán buôn hàng tiêu dùng,OTC,1980000
Ricons,CTCP Tập đoàn Đầu tư Xây dựng Ricons,"Xây dựng nhà cửa, cao ốc",OTC,0
RoyalVN,Công ty Tư vấn Kiểm toán Hoàng Gia Việt Nam,Dịch vụ pháp lý,Khác,0
S12,CTCP Sông Đà 12,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5000000
S27,CTCP Sông Đà 27,Sản xuất khác,UPCoM,1572833
S33,CTCP Mía đường 333,Sản xuất thực phẩm,OTC,8331409
S4A,CTCP Thủy điện Sê San 4A,"Phát, truyền tải và phân phối điện năng",HOSE,42200000
S55,CTCP Sông Đà 505,Xây dựng công nghiệp nặng và dân dụng,HNX,10000000
S64,CTCP Sông Đà 6.04,"Xây dựng nhà cửa, cao ốc",OTC,2000000
S72,CTCP Sông Đà 7.02,"Phát, truyền tải và phân phối điện năng",UPCoM,12000000
S74,CTCP Sông Đà 7.04,Sản xuất sản phẩm khoáng chất phi kim,HNX,6480000
S91,CTCP Sông Đà 9.01,Xây dựng công nghiệp nặng và dân dụng,OTC,2940000
S96,CTCP Sông Đà 9.06,"Xây dựng nhà cửa, cao ốc",UPCoM,11155532
S99,CTCP SCI,Xây dựng công nghiệp nặng và dân dụng,HNX,52426723
SAAC,Công ty TNHH Kế toán và Kiểm toán Phương Nam,Dịch vụ pháp lý,Khác,0
SAB,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Sài Gòn,Sản xuất đồ uống và thuốc lá,HOSE,641281186
SAC,CTCP Xếp dỡ và Dịch vụ Cảng Sài Gòn,Hỗ trợ vận tải,UPCoM,4050000
SAF,CTCP Lương thực Thực phẩm Safoco,Sản xuất thực phẩm,HNX,10055789
SAGEL,CTCP Điện tử và Dịch vụ Công nghiệp Sài Gòn,"Sản xuất trang thiết bị, dụng cụ điện",OTC,0
SAGRI,Tổng Công ty Nông nghiệp Sài Gòn - TNHH MTV,Hoạt động hỗ trợ cho nông lâm nghiệp,Khác,0
SAIGON5,Công ty TNHH MTV Xây dựng Thương mại Sài Gòn 5 ,"Xây dựng nhà cửa, cao ốc",OTC,0
SAIGONIPD,Công ty TNHH MTV Phát triển Khu Công nghiệp Sài Gòn,Kho bãi,Khác,0
SAL,CTCP Trục vớt Cứu hộ Việt Nam,Hỗ trợ vận tải,UPCoM,8310000
SAM,CTCP SAM HOLDINGS,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,256504540
SAMCO,Tổng Công ty Cơ Khí Giao thông Vận tải Sài Gòn TNHH MTV,Sản xuất phương tiện vận tải,Khác,0
SAP,CTCP In Sách giáo khoa Thành phố Hồ Chí Minh,In ấn và các hoạt động hỗ trợ,UPCoM,1286984
SAS,CTCP Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Của hàng hàng hóa tổng hợp,UPCoM,133481310
SATICO,Công ty TNHH MTV Satra Tiền Giang,Hoạt động hỗ trợ cho nông lâm nghiệp,Khác,0
SATRA,Tổng Công ty Thương mại Sài Gòn TNHH MTV,Bán buôn hàng tiêu dùng,Khác,0
SAV,CTCP Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,HOSE,14599855
SB1,CTCP Bia Sài Gòn - Nghệ Tĩnh,Sản xuất đồ uống và thuốc lá,UPCoM,10500000
SBA,CTCP Sông Ba,"Phát, truyền tải và phân phối điện năng",HOSE,60488261
SBBS,CTCP Chứng khoán Saigonbank Berjaya,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,30000000
SBC,CTCP Vận tải và Giao nhận Bia Sài Gòn,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,OTC,8000000
SBD,CTCP Công nghệ Sao Bắc Đẩu,Các dịch vụ thông tin khác,UPCoM,11500000
SBF,CTCP Quản lý Quỹ Sabeco,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
SBF1,Quỹ đầu tư Sabeco 1,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
SBH,CTCP Thủy điện Sông Ba Hạ,"Phát, truyền tải và phân phối điện năng",UPCoM,124225000
SBL,CTCP Bia Sài Gòn - Bạc Liêu,Sản xuất thực phẩm,UPCoM,12012000
SBM,CTCP Đầu tư Phát triển Bắc Minh,"Phát, truyền tải và phân phối điện năng",UPCoM,39000000
SBR,CTCP Cao su Sông Bé,"Sản xuất hóa chất, dược phẩm",UPCoM,81396192
SBS,CTCP Chứng khoán Ngân hàng Sài Gòn Thương Tín,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,126660000
SBSI,CTCP Chứng khoán Stanley Brothers,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
SBT,CTCP Thành Thành Công - Biên Hòa,Sản xuất thực phẩm,HOSE,617158147
SBV,CTCP Siam Brothers Việt Nam,Sản xuất khác,HOSE,27366476
SC5,CTCP Xây dựng Số 5,"Xây dựng nhà cửa, cao ốc",HOSE,14984550
SCA,CTCP Nông nghiệp Sông Con,Trồng trọt,UPCoM,2076000
SCB,Ngân hàng TMCP Sài Gòn,Trung gian tín dụng và các hoạt động liên quan,OTC,0
SCC,CTCP Đầu tư Thương mại Hưng Long Tỉnh Hòa Bình ,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4884900
SCCV,CTCP Than Miền Nam - Vinacomin,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),OTC,0
SCD,CTCP Nước giải khát Chương Dương,Sản xuất đồ uống và thuốc lá,HOSE,8500000
SCFC,CTCP Lương thực Nam Trung Bộ,Bán buôn hàng tiêu dùng,OTC,0
SCG,CTCP Xây dựng SCG,"Xây dựng nhà cửa, cao ốc",OTC,50000000
SCH,CTCP Thủy điện Sông Chảy 5,"Nước, chất thải và các hệ thống khác",OTC,15000000
SCI,CTCP SCI E&C,"Xây dựng nhà cửa, cao ốc",HNX,12099968
SCIC,Tổng Công ty Đầu tư và Kinh doanh Vốn Nhà nước,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,0
SCJ,CTCP Xi măng Sài Sơn,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,37839000
SCJSC,CTCP Sài Gòn - Cam Ranh,Chăn nuôi,OTC,0
SCL,CTCP Sông Đà Cao Cường,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,13889973
SCO,CTCP Công nghiệp Thủy sản,Bán buôn hàng tiêu dùng,UPCoM,4200000
SCR,CTCP Địa ốc Sài Gòn Thương Tín,Phát triển bất động sản,HOSE,366356303
SCS,CTCP Dịch vụ Hàng hóa Sài Gòn,Hỗ trợ vận tải,HOSE,50745700
SCY,CTCP Đóng tàu Sông Cấm,Sản xuất phương tiện vận tải,UPCoM,61968926
